location,date,population,total_cases,total_deaths,infection_rate,death_rate
Brunei,09/03/2020,437483,1,NULL,0.0002,NULL
Brunei,10/03/2020,437483,1,NULL,0.0002,NULL
Brunei,11/03/2020,437483,11,NULL,0.0025,NULL
Brunei,12/03/2020,437483,11,NULL,0.0025,NULL
Brunei,13/03/2020,437483,37,NULL,0.0085,NULL
Brunei,14/03/2020,437483,40,NULL,0.0091,NULL
Brunei,15/03/2020,437483,50,NULL,0.0114,NULL
Brunei,16/03/2020,437483,54,NULL,0.0123,NULL
Brunei,17/03/2020,437483,56,NULL,0.0128,NULL
Brunei,18/03/2020,437483,68,NULL,0.0155,NULL
Brunei,19/03/2020,437483,75,NULL,0.0171,NULL
Brunei,20/03/2020,437483,78,NULL,0.0178,NULL
Brunei,21/03/2020,437483,83,NULL,0.0190,NULL
Brunei,22/03/2020,437483,88,NULL,0.0201,NULL
Brunei,23/03/2020,437483,91,NULL,0.0208,NULL
Brunei,24/03/2020,437483,104,NULL,0.0238,NULL
Brunei,25/03/2020,437483,109,NULL,0.0249,NULL
Brunei,26/03/2020,437483,114,NULL,0.0261,NULL
Brunei,27/03/2020,437483,115,NULL,0.0263,NULL
Brunei,28/03/2020,437483,120,1,0.0274,0.8333333333333334
Brunei,29/03/2020,437483,126,1,0.0288,0.7936507936507936
Brunei,30/03/2020,437483,127,1,0.0290,0.7874015748031495
Brunei,31/03/2020,437483,129,1,0.0295,0.7751937984496124
Brunei,01/04/2020,437483,131,1,0.0299,0.7633587786259541
Brunei,02/04/2020,437483,133,1,0.0304,0.7518796992481203
Brunei,03/04/2020,437483,134,1,0.0306,0.7462686567164178
Brunei,04/04/2020,437483,135,1,0.0309,0.7407407407407408
Brunei,05/04/2020,437483,135,1,0.0309,0.7407407407407408
Brunei,06/04/2020,437483,135,1,0.0309,0.7407407407407408
Brunei,07/04/2020,437483,135,1,0.0309,0.7407407407407408
Brunei,08/04/2020,437483,135,1,0.0309,0.7407407407407408
Brunei,09/04/2020,437483,135,1,0.0309,0.7407407407407408
Brunei,10/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,11/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,12/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,13/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,14/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,15/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,16/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,17/04/2020,437483,136,1,0.0311,0.7352941176470588
Brunei,18/04/2020,437483,137,1,0.0313,0.7299270072992701
Brunei,19/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,20/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,21/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,22/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,23/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,24/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,25/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,26/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,27/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,28/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,29/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,30/04/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,01/05/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,02/05/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,03/05/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,04/05/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,05/05/2020,437483,138,1,0.0315,0.7246376811594203
Brunei,06/05/2020,437483,139,1,0.0318,0.7194244604316548
Brunei,07/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,08/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,09/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,10/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,11/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,12/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,13/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,14/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,15/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,16/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,17/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,18/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,19/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,20/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,21/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,22/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,23/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,24/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,25/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,26/05/2020,437483,141,1,0.0322,0.7092198581560284
Brunei,27/05/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,28/05/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,29/05/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,30/05/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,31/05/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,01/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,02/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,03/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,04/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,05/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,06/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,07/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,08/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,09/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,10/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,11/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,12/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,13/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,14/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,15/06/2020,437483,141,2,0.0322,1.4184397163120568
Brunei,16/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,17/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,18/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,19/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,20/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,21/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,22/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,23/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,24/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,25/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,26/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,27/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,28/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,29/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,30/06/2020,437483,141,3,0.0322,2.127659574468085
Brunei,01/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,02/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,03/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,04/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,05/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,06/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,07/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,08/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,09/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,10/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,11/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,12/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,13/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,14/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,15/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,16/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,17/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,18/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,19/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,20/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,21/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,22/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,23/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,24/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,25/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,26/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,27/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,28/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,29/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,30/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,31/07/2020,437483,141,3,0.0322,2.127659574468085
Brunei,01/08/2020,437483,141,3,0.0322,2.127659574468085
Brunei,02/08/2020,437483,141,3,0.0322,2.127659574468085
