location,date,population,new_vaccinations,rolling_vaccinations
Brunei,01/01/2021,437483,NULL,NULL
Brunei,01/02/2021,437483,NULL,NULL
Brunei,01/03/2021,437483,NULL,NULL
Brunei,01/04/2020,437483,NULL,NULL
Brunei,01/04/2021,437483,NULL,NULL
Brunei,01/05/2020,437483,NULL,NULL
Brunei,01/06/2020,437483,NULL,NULL
Brunei,01/07/2020,437483,NULL,NULL
Brunei,01/08/2020,437483,NULL,NULL
Brunei,01/09/2020,437483,NULL,NULL
Brunei,01/10/2020,437483,NULL,NULL
Brunei,01/11/2020,437483,NULL,NULL
Brunei,01/12/2020,437483,NULL,NULL
Brunei,02/01/2021,437483,NULL,NULL
Brunei,02/02/2021,437483,NULL,NULL
Brunei,02/03/2021,437483,NULL,NULL
Brunei,02/04/2020,437483,NULL,NULL
Brunei,02/04/2021,437483,NULL,NULL
Brunei,02/05/2020,437483,NULL,NULL
Brunei,02/06/2020,437483,NULL,NULL
Brunei,02/07/2020,437483,NULL,NULL
Brunei,02/08/2020,437483,NULL,NULL
Brunei,02/09/2020,437483,NULL,NULL
Brunei,02/10/2020,437483,NULL,NULL
Brunei,02/11/2020,437483,NULL,NULL
Brunei,02/12/2020,437483,NULL,NULL
Brunei,03/01/2021,437483,NULL,NULL
Brunei,03/02/2021,437483,NULL,NULL
Brunei,03/03/2021,437483,NULL,NULL
Brunei,03/04/2020,437483,NULL,NULL
Brunei,03/04/2021,437483,340,340
Brunei,03/05/2020,437483,NULL,340
Brunei,03/06/2020,437483,NULL,340
Brunei,03/07/2020,437483,NULL,340
Brunei,03/08/2020,437483,NULL,340
Brunei,03/09/2020,437483,NULL,340
Brunei,03/10/2020,437483,NULL,340
Brunei,03/11/2020,437483,NULL,340
Brunei,03/12/2020,437483,NULL,340
Brunei,04/01/2021,437483,NULL,340
Brunei,04/02/2021,437483,NULL,340
Brunei,04/03/2021,437483,NULL,340
Brunei,04/04/2020,437483,NULL,340
Brunei,04/04/2021,437483,NULL,340
Brunei,04/05/2020,437483,NULL,340
Brunei,04/06/2020,437483,NULL,340
Brunei,04/07/2020,437483,NULL,340
Brunei,04/08/2020,437483,NULL,340
Brunei,04/09/2020,437483,NULL,340
Brunei,04/10/2020,437483,NULL,340
Brunei,04/11/2020,437483,NULL,340
Brunei,04/12/2020,437483,NULL,340
Brunei,05/01/2021,437483,NULL,340
Brunei,05/02/2021,437483,NULL,340
Brunei,05/03/2021,437483,NULL,340
Brunei,05/04/2020,437483,NULL,340
Brunei,05/04/2021,437483,NULL,340
Brunei,05/05/2020,437483,NULL,340
Brunei,05/06/2020,437483,NULL,340
Brunei,05/07/2020,437483,NULL,340
Brunei,05/08/2020,437483,NULL,340
Brunei,05/09/2020,437483,NULL,340
Brunei,05/10/2020,437483,NULL,340
Brunei,05/11/2020,437483,NULL,340
Brunei,05/12/2020,437483,NULL,340
Brunei,06/01/2021,437483,NULL,340
Brunei,06/02/2021,437483,NULL,340
Brunei,06/03/2021,437483,NULL,340
Brunei,06/04/2020,437483,NULL,340
Brunei,06/04/2021,437483,NULL,340
Brunei,06/05/2020,437483,NULL,340
Brunei,06/06/2020,437483,NULL,340
Brunei,06/07/2020,437483,NULL,340
Brunei,06/08/2020,437483,NULL,340
Brunei,06/09/2020,437483,NULL,340
Brunei,06/10/2020,437483,NULL,340
Brunei,06/11/2020,437483,NULL,340
Brunei,06/12/2020,437483,NULL,340
Brunei,07/01/2021,437483,NULL,340
Brunei,07/02/2021,437483,NULL,340
Brunei,07/03/2021,437483,NULL,340
Brunei,07/04/2020,437483,NULL,340
Brunei,07/04/2021,437483,NULL,340
Brunei,07/05/2020,437483,NULL,340
Brunei,07/06/2020,437483,NULL,340
Brunei,07/07/2020,437483,NULL,340
Brunei,07/08/2020,437483,NULL,340
Brunei,07/09/2020,437483,NULL,340
Brunei,07/10/2020,437483,NULL,340
Brunei,07/11/2020,437483,NULL,340
Brunei,07/12/2020,437483,NULL,340
Brunei,08/01/2021,437483,NULL,340
Brunei,08/02/2021,437483,NULL,340
Brunei,08/03/2021,437483,NULL,340
Brunei,08/04/2020,437483,NULL,340
Brunei,08/04/2021,437483,NULL,340
Brunei,08/05/2020,437483,NULL,340
Brunei,08/06/2020,437483,NULL,340
Brunei,08/07/2020,437483,NULL,340
Brunei,08/08/2020,437483,NULL,340
Brunei,08/09/2020,437483,NULL,340
Brunei,08/10/2020,437483,NULL,340
Brunei,08/11/2020,437483,NULL,340
Brunei,08/12/2020,437483,NULL,340
Brunei,09/01/2021,437483,NULL,340
Brunei,09/02/2021,437483,NULL,340
Brunei,09/03/2020,437483,NULL,340
Brunei,09/03/2021,437483,NULL,340
Brunei,09/04/2020,437483,NULL,340
Brunei,09/04/2021,437483,NULL,340
Brunei,09/05/2020,437483,NULL,340
Brunei,09/06/2020,437483,NULL,340
Brunei,09/07/2020,437483,NULL,340
Brunei,09/08/2020,437483,NULL,340
Brunei,09/09/2020,437483,NULL,340
Brunei,09/10/2020,437483,NULL,340
Brunei,09/11/2020,437483,NULL,340
Brunei,09/12/2020,437483,NULL,340
Brunei,10/01/2021,437483,NULL,340
Brunei,10/02/2021,437483,NULL,340
Brunei,10/03/2020,437483,NULL,340
Brunei,10/03/2021,437483,NULL,340
Brunei,10/04/2020,437483,NULL,340
Brunei,10/04/2021,437483,NULL,340
Brunei,10/05/2020,437483,NULL,340
Brunei,10/06/2020,437483,NULL,340
Brunei,10/07/2020,437483,NULL,340
Brunei,10/08/2020,437483,NULL,340
Brunei,10/09/2020,437483,NULL,340
Brunei,10/10/2020,437483,NULL,340
Brunei,10/11/2020,437483,NULL,340
Brunei,10/12/2020,437483,NULL,340
Brunei,11/01/2021,437483,NULL,340
Brunei,11/02/2021,437483,NULL,340
Brunei,11/03/2020,437483,NULL,340
Brunei,11/03/2021,437483,NULL,340
Brunei,11/04/2020,437483,NULL,340
Brunei,11/04/2021,437483,NULL,340
Brunei,11/05/2020,437483,NULL,340
Brunei,11/06/2020,437483,NULL,340
Brunei,11/07/2020,437483,NULL,340
Brunei,11/08/2020,437483,NULL,340
Brunei,11/09/2020,437483,NULL,340
Brunei,11/10/2020,437483,NULL,340
Brunei,11/11/2020,437483,NULL,340
Brunei,11/12/2020,437483,NULL,340
Brunei,12/01/2021,437483,NULL,340
Brunei,12/02/2021,437483,NULL,340
Brunei,12/03/2020,437483,NULL,340
Brunei,12/03/2021,437483,NULL,340
Brunei,12/04/2020,437483,NULL,340
Brunei,12/04/2021,437483,NULL,340
Brunei,12/05/2020,437483,NULL,340
Brunei,12/06/2020,437483,NULL,340
Brunei,12/07/2020,437483,NULL,340
Brunei,12/08/2020,437483,NULL,340
Brunei,12/09/2020,437483,NULL,340
Brunei,12/10/2020,437483,NULL,340
Brunei,12/11/2020,437483,NULL,340
Brunei,12/12/2020,437483,NULL,340
Brunei,13/01/2021,437483,NULL,340
Brunei,13/02/2021,437483,NULL,340
Brunei,13/03/2020,437483,NULL,340
Brunei,13/03/2021,437483,NULL,340
Brunei,13/04/2020,437483,NULL,340
Brunei,13/04/2021,437483,NULL,340
Brunei,13/05/2020,437483,NULL,340
Brunei,13/06/2020,437483,NULL,340
Brunei,13/07/2020,437483,NULL,340
Brunei,13/08/2020,437483,NULL,340
Brunei,13/09/2020,437483,NULL,340
Brunei,13/10/2020,437483,NULL,340
Brunei,13/11/2020,437483,NULL,340
Brunei,13/12/2020,437483,NULL,340
Brunei,14/01/2021,437483,NULL,340
Brunei,14/02/2021,437483,NULL,340
Brunei,14/03/2020,437483,NULL,340
Brunei,14/03/2021,437483,NULL,340
Brunei,14/04/2020,437483,NULL,340
Brunei,14/04/2021,437483,NULL,340
Brunei,14/05/2020,437483,NULL,340
Brunei,14/06/2020,437483,NULL,340
Brunei,14/07/2020,437483,NULL,340
Brunei,14/08/2020,437483,NULL,340
Brunei,14/09/2020,437483,NULL,340
Brunei,14/10/2020,437483,NULL,340
Brunei,14/11/2020,437483,NULL,340
Brunei,14/12/2020,437483,NULL,340
Brunei,15/01/2021,437483,NULL,340
Brunei,15/02/2021,437483,NULL,340
Brunei,15/03/2020,437483,NULL,340
Brunei,15/03/2021,437483,NULL,340
Brunei,15/04/2020,437483,NULL,340
Brunei,15/04/2021,437483,NULL,340
Brunei,15/05/2020,437483,NULL,340
Brunei,15/06/2020,437483,NULL,340
Brunei,15/07/2020,437483,NULL,340
Brunei,15/08/2020,437483,NULL,340
Brunei,15/09/2020,437483,NULL,340
Brunei,15/10/2020,437483,NULL,340
Brunei,15/11/2020,437483,NULL,340
Brunei,15/12/2020,437483,NULL,340
Brunei,16/01/2021,437483,NULL,340
Brunei,16/02/2021,437483,NULL,340
Brunei,16/03/2020,437483,NULL,340
Brunei,16/03/2021,437483,NULL,340
Brunei,16/04/2020,437483,NULL,340
Brunei,16/04/2021,437483,NULL,340
Brunei,16/05/2020,437483,NULL,340
Brunei,16/06/2020,437483,NULL,340
Brunei,16/07/2020,437483,NULL,340
Brunei,16/08/2020,437483,NULL,340
Brunei,16/09/2020,437483,NULL,340
Brunei,16/10/2020,437483,NULL,340
Brunei,16/11/2020,437483,NULL,340
Brunei,16/12/2020,437483,NULL,340
Brunei,17/01/2021,437483,NULL,340
Brunei,17/02/2021,437483,NULL,340
Brunei,17/03/2020,437483,NULL,340
Brunei,17/03/2021,437483,NULL,340
Brunei,17/04/2020,437483,NULL,340
Brunei,17/04/2021,437483,NULL,340
Brunei,17/05/2020,437483,NULL,340
Brunei,17/06/2020,437483,NULL,340
Brunei,17/07/2020,437483,NULL,340
Brunei,17/08/2020,437483,NULL,340
Brunei,17/09/2020,437483,NULL,340
Brunei,17/10/2020,437483,NULL,340
Brunei,17/11/2020,437483,NULL,340
Brunei,17/12/2020,437483,NULL,340
Brunei,18/01/2021,437483,NULL,340
Brunei,18/02/2021,437483,NULL,340
Brunei,18/03/2020,437483,NULL,340
Brunei,18/03/2021,437483,NULL,340
Brunei,18/04/2020,437483,NULL,340
Brunei,18/04/2021,437483,NULL,340
Brunei,18/05/2020,437483,NULL,340
Brunei,18/06/2020,437483,NULL,340
Brunei,18/07/2020,437483,NULL,340
Brunei,18/08/2020,437483,NULL,340
Brunei,18/09/2020,437483,NULL,340
Brunei,18/10/2020,437483,NULL,340
Brunei,18/11/2020,437483,NULL,340
Brunei,18/12/2020,437483,NULL,340
Brunei,19/01/2021,437483,NULL,340
Brunei,19/02/2021,437483,NULL,340
Brunei,19/03/2020,437483,NULL,340
Brunei,19/03/2021,437483,NULL,340
Brunei,19/04/2020,437483,NULL,340
Brunei,19/04/2021,437483,NULL,340
Brunei,19/05/2020,437483,NULL,340
Brunei,19/06/2020,437483,NULL,340
Brunei,19/07/2020,437483,NULL,340
Brunei,19/08/2020,437483,NULL,340
Brunei,19/09/2020,437483,NULL,340
Brunei,19/10/2020,437483,NULL,340
Brunei,19/11/2020,437483,NULL,340
Brunei,19/12/2020,437483,NULL,340
Brunei,20/01/2021,437483,NULL,340
Brunei,20/02/2021,437483,NULL,340
Brunei,20/03/2020,437483,NULL,340
Brunei,20/03/2021,437483,NULL,340
Brunei,20/04/2020,437483,NULL,340
Brunei,20/04/2021,437483,NULL,340
Brunei,20/05/2020,437483,NULL,340
Brunei,20/06/2020,437483,NULL,340
Brunei,20/07/2020,437483,NULL,340
Brunei,20/08/2020,437483,NULL,340
Brunei,20/09/2020,437483,NULL,340
Brunei,20/10/2020,437483,NULL,340
Brunei,20/11/2020,437483,NULL,340
Brunei,20/12/2020,437483,NULL,340
Brunei,21/01/2021,437483,NULL,340
Brunei,21/02/2021,437483,NULL,340
Brunei,21/03/2020,437483,NULL,340
Brunei,21/03/2021,437483,NULL,340
Brunei,21/04/2020,437483,NULL,340
Brunei,21/04/2021,437483,NULL,340
Brunei,21/05/2020,437483,NULL,340
Brunei,21/06/2020,437483,NULL,340
Brunei,21/07/2020,437483,NULL,340
Brunei,21/08/2020,437483,NULL,340
Brunei,21/09/2020,437483,NULL,340
Brunei,21/10/2020,437483,NULL,340
Brunei,21/11/2020,437483,NULL,340
Brunei,21/12/2020,437483,NULL,340
Brunei,22/01/2021,437483,NULL,340
Brunei,22/02/2021,437483,NULL,340
